"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 04 18:04:43 EEST 2026","Sat Jul 04 18:04:45 EEST 2026","2614","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.AirPollutionDashboardTests","com.dxc.iot.tests.AirPollutionDashboardTests","testAirPollutionDashboardLoads_AP001","testAirPollutionDashboardLoads_AP001",""
"passed","Sat Jul 04 17:42:58 EEST 2026","Sat Jul 04 17:43:02 EEST 2026","3422","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.TrafficDashboardTests","com.dxc.iot.tests.TrafficDashboardTests","testPaginationControlsDisplayed_TD002","testPaginationControlsDisplayed_TD002","Asserts both Next and Previous pagination buttons are present."
"passed","Sat Jul 04 16:57:46 EEST 2026","Sat Jul 04 16:58:10 EEST 2026","24484","IoT Automation Suite","Regression Tests","com.dxc.iot.tests.ProfileTests","com.dxc.iot.tests.ProfileTests","testCancelCollapsesPasswordForm_A049","testCancelCollapsesPasswordForm_A049",""
"passed","Sat Jul 04 18:10:02 EEST 2026","Sat Jul 04 18:10:05 EEST 2026","3343","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.AirPollutionDashboardTests","com.dxc.iot.tests.AirPollutionDashboardTests","testOzoneChartVisible_APCG002","testOzoneChartVisible_APCG002",""
"passed","Sat Jul 04 17:41:13 EEST 2026","Sat Jul 04 17:41:17 EEST 2026","4921","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.TrafficDashboardTests","com.dxc.iot.tests.TrafficDashboardTests","testExpandChartShowsStats_CG004","testExpandChartShowsStats_CG004","Clicks 'Click to expand' on the Traffic Density chart and asserts the expanded view opens with Peak Density stat visible."
"passed","Sat Jul 04 17:11:36 EEST 2026","Sat Jul 04 17:11:39 EEST 2026","3716","IoT Automation Suite","Sprint 3 Tests","com.dxc.iot.tests.EntryPointTests","com.dxc.iot.tests.EntryPointTests","testBackNavigationReturnsToHome_EP005","testBackNavigationReturnsToHome_EP005","Clicks Traffic card, browser Back, asserts all 3 cards still present."
"passed","Sat Jul 04 18:10:11 EEST 2026","Sat Jul 04 18:10:19 EEST 2026","7636","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.AirPollutionDashboardTests","com.dxc.iot.tests.AirPollutionDashboardTests","testPaginationControlsDisplayed_AP002","testPaginationControlsDisplayed_AP002",""
"passed","Sat Jul 04 18:14:33 EEST 2026","Sat Jul 04 18:16:34 EEST 2026","121166","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.AirPollutionNotificationTests","com.dxc.iot.tests.AirPollutionNotificationTests","testAirPollutionNotificationFormat_APN001","testAirPollutionNotificationFormat_APN001","Asserts an Air Pollution alert contains 'CO Levels' or 'Ozone', 'above/below the limit', 'reading:', and 'threshold:'."
"passed","Sat Jul 04 17:54:29 EEST 2026","Sat Jul 04 17:54:37 EEST 2026","7448","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightDashboardTests","com.dxc.iot.tests.StreetLightDashboardTests","testNextPaginationChangesData_SL003","testNextPaginationChangesData_SL003",""
"passed","Sat Jul 04 17:55:21 EEST 2026","Sat Jul 04 17:55:35 EEST 2026","14804","IoT Automation Suite","Sprint 4 & 5 Tests","com.dxc.iot.tests.StreetLightDashboardTests","com.dxc.iot.tests.StreetLightDashboardTests","testSameDayDateRange_SL023","testSameDayDateRange_SL023",""
